Index,CountryOfInterest,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,,,,,,,
163,Saint Kitts and Nevis,16,,15,1,301,,493,"9,266","53,206",NorthAmerica,,,,,,,
67,Falkland Islands,13,,13,0,"3,735",,"1,197","343,867","3,481",SouthAmerica,,,,,,,
80,Greenland,13,,13,0,229,,"4,361","76,816","56,772",NorthAmerica,,,,,,,
207,Vatican City,12,,12,0,"14,981",,,,801,Europe,,,,,,,
133,Montserrat,11,1,10,0,"2,204",200,61,"12,220","4,992",NorthAmerica,,,,,,,
151,Papua New Guinea,11,,8,3,1,,"7,147",799,"8,949,096",Oceania,,,,,,,
56,W. Sahara,10,1,8,1,17,2,,,"597,475",Africa,,,,,,,
28,British Virgin Islands,8,1,7,0,265,33,439,"14,520","30,235",NorthAmerica,,,,,,,
38,Caribbean Netherlands,7,,7,0,267,,424,"16,167","26,227",NorthAmerica,,,,,,,
183,St. Barth,6,,6,0,607,,507,"51,326","9,878",NorthAmerica,,,,,,,
6,Anguilla,3,,3,0,200,,305,"20,327","15,005",NorthAmerica,,,,,,,
166,Saint Pierre Miquelon,1,,1,0,173,,,,"5,793",NorthAmerica,,,,,,,
59,Antarctica,,,,,,,,,,Antarctica,,,,,,,
,North Korea,,,,,,,,,,Asia,,,,,,,
,Turkmenistan,,,,,,,,,"6,031,187",Asia,,,,,,,
